,,,,,,
,,,,,,
,,,,,,
,,,,Time,Value,
,,,,,,
,,,,,,
,,,,2020-05-28,"18,273",
,,,,2020-06-04,"13,963",
,,,,2020-06-11,"16,486",
,,,,2020-06-18,"15,162",
,,,,2020-06-25,"10,785",
,,,,2020-07-02,"8,982",
,,,,2020-07-09,"9,934",
,,,,2020-07-16,"10,936",
,,,,2020-07-23,"11,850",
,,,,2020-07-30,"12,658",
,,,,2020-08-06,"12,022",
,,,,2020-08-13,"19,392",
,,,,2020-08-20,"20,101",
,,,,2020-08-27,"23,502",
,,,,2020-09-03,"41,069",
,,,,2020-09-10,"54,944",
,,,,2020-09-17,"71,872",
,,,,2020-09-24,"85,382",
,,,,2020-10-01,"222,429",
,,,,2020-10-08,"252,486",
,,,,2020-10-15,"318,420",
,,,,2020-10-22,"371,776",
,,,,2020-10-29,"381,484",
,,,,2020-11-05,"423,193",
,,,,2020-11-12,"421,356",
,,,,2020-11-19,"312,489",
,,,,2020-11-26,"246,691",
,,,,2020-12-03,"261,815",
,,,,2020-12-10,"382,277",
,,,,2020-12-17,"574,045",
,,,,2020-12-24,"729,145",
,,,,2020-12-31,"1,061,403",
,,,,2021-01-07,"954,786",
,,,,2021-01-14,"742,669",
,,,,2021-01-21,"537,575",
,,,,2021-01-28,"404,052",
,,,,2021-02-04,"286,571",
,,,,2021-02-11,"226,763",
,,,,2021-02-18,"189,544",
,,,,2021-02-25,"121,832",
,,,,2021-03-04,"100,428",
,,,,2021-03-11,"92,601",
,,,,2021-03-18,"86,869",
,,,,2021-03-25,"72,117",
,,,,2021-04-01,"46,529",
,,,,2021-04-08,"42,652",
,,,,2021-04-15,"33,952",
,,,,2021-04-22,"30,120",
,,,,2021-04-29,"26,984",
,,,,2021-05-06,"31,644",
,,,,2021-05-13,"30,826",
,,,,2021-05-20,"38,930",
,,,,2021-05-27,"56,792",
,,,,2021-06-03,"98,055",
,,,,2021-06-10,"131,758",
,,,,2021-06-17,"183,786",
,,,,2021-06-24,"311,509",
,,,,2021-07-01,"437,399",
,,,,2021-07-08,"605,315",
