,,,,,,
,Time,Value,,,,
,,,,,,
,2021-02-04,"286,571",,,,
,2021-02-11,"226,763",,,,
,2021-02-18,"189,544",,,,
,2021-02-25,"121,832",,,,
,2021-03-04,"100,428",,,,
,2021-03-11,"92,601",,,,
,2021-03-18,"86,869",,,,
,2021-03-25,"72,117",,,,
,2021-04-01,"46,529",,,,
,2021-04-08,"42,652",,,,
,2021-04-15,"33,952",,,,
,2021-04-22,"30,120",,,,
,2021-04-29,"26,984",,,,
,2021-05-06,"31,644",,,,
,2021-05-13,"30,826",,,,
,2021-05-20,"38,930",,,,
,2021-05-27,"56,792",,,,
,2021-06-03,"98,055",,,,
,2021-06-10,"131,758",,,,
,2021-06-17,"183,786",,,,
,2021-06-24,"311,509",,,,
,2021-07-01,"437,399",,,,
,2021-07-08,"605,315",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
